system:index,accuracy,maxNodes,.geo
0,0.8978185993111366,10.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.9529276693455798,20.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.9621125143513203,30.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.9690011481056258,40.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.9724454649827784,50.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9724454649827784,60.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.9724454649827784,70.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.9724454649827784,80.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.9724454649827784,90.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.9724454649827784,100.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
