system:index,RF_importance,band,.geo
0,10.375981909759139,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.611492160940015,B11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6.352036501001415,B12,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.456565899155768,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.6363691254363677,B3,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.5576400667241384,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.51225357800133,B5,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.815501678487307,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.508405777022689,B7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.381278484526194,B8,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.5877552462283795,B8A,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.929549310947169,B9,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.95859365841046,bsi,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,10.059204216754909,elev,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5.908214828727509,mndwi,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.7029575619201798,ndbi,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,7.380511450965385,ndvi,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.265688544991647,slope,"{""type"":""MultiPoint"",""coordinates"":[]}"
